FECHA_CORTE;ANIO;COD_PRED;AREA_TERRENO;AREA_CONSTRUIDA;AREA_COMUN;PORCENTAJE_PROPIEDAD;BASE_IMPONIBLE;ESTADO_PREDIO;USO_PREDIO;CONDICION_PROPIEDAD;DEPARTAMENTO;PROVINCIA;DISTRITO;UBIGEO
20240920;2024;a98150022ecf85ce9ecb5d865e57689a98f444359f66b9a1efdd6e9bbe11d4bc;30;30;0;100;26,495.55;TERMINADO                ;COMERCIO;SUCESIÓN INDIVISA;LIMA;LIMA;JESUS MARIA;150113
20240920;2024;e5a9a47ce93ac4829be3b90cea99c852eda92130e1a9462f4da7ad875562aca0;6.32;8.97;0;100;9,916.43;TERMINADO                ;COMERCIO;PROPIETARIO UNICO        ;LIMA;LIMA;JESUS MARIA;150113
20240920;2024;708d3b2efbc598c0f70ef316b6e503ac06b5e918eb418195b8216bc0cd5551be;6.32;8.97;0;100;9,947.83;TERMINADO                ;COMERCIO;PROPIETARIO UNICO        ;LIMA;LIMA;JESUS MARIA;150113
20240920;2024;06292b27ff83126d405f433ce97025144f9ab1b5a0a3ca4f362583bf4ac09250;7.46;23.4;0;100;12,995.74;TERMINADO                ;COMERCIO;PROPIETARIO UNICO        ;LIMA;LIMA;JESUS MARIA;150113
20240920;2024;d7a6b26175f58c9fcf7d6a145261a0078a6e4979757937839faac94b67a939ce;43.53;36;0;30;63,638.69;TERMINADO                ;COMERCIO;CONDOMINIO;LIMA;LIMA;JESUS MARIA;150113
20240920;2024;bfbc7f781d60b2c6315f83a1d9b869566b22ed552052b301db267ac17d89406a;8.38;35.17;0;100;31,298.80;TERMINADO                ;COMERCIO;SOCIEDAD CONYUGAL;LIMA;LIMA;JESUS MARIA;150113
20240920;2024;a64f5d555306214f4d4fde71536f28c46e402c6732c6b1fc9096da5a76a5e054;31.46;42;0;100;53,385.52;TERMINADO                ;COMERCIO;PROPIETARIO UNICO        ;LIMA;LIMA;JESUS MARIA;150113
20240920;2024;9a20fa165d7e17200bd2c56daebbe1d01ad854df7defbe72c1c7077d96e0906c;340.32;2,082.69;0;5;1,868,246.41;TERMINADO                ;COMERCIO;CONDOMINIO;LIMA;LIMA;JESUS MARIA;150113
20240920;2024;ac03e5268dda9ea9aa00778ad6ad4abfa0c842448111b0f37ce3244b23cc52c7;22.35;119.61;0;5;111,980.91;TERMINADO                ;COMERCIO;CONDOMINIO;LIMA;LIMA;JESUS MARIA;150113
20240920;2024;886cdb4613e9bb5ef6010f80e5f13da24036380d6cccb22877d6fc51b7e8c04c;98.29;526.02;0;5;532,018.68;TERMINADO                ;COMERCIO;CONDOMINIO;LIMA;LIMA;JESUS MARIA;150113
20240920;2024;b776cca669e50bb093f656514d1be16a80141c8f4369587c59dd0a3d59f5634d;29.92;38.61;0;100;26,648.08;TERMINADO                ;COMERCIO;SOCIEDAD CONYUGAL;LIMA;LIMA;JESUS MARIA;150113
20240920;2024;c09d91793ceb20e75abc65972260d25d427cf6fffdef2403a458bfb058941d55;0.18;7.43;0;100;5,186.28;TERMINADO                ;COMERCIO;PROPIETARIO UNICO        ;LIMA;LIMA;JESUS MARIA;150113
20240920;2024;87f6961b47b6bd0a123a0bf7ef0ea2b81d219ff8356c741b81ac7807039f2347;6.03;27.66;0;10;29,054.58;TERMINADO                ;COMERCIO;CONDOMINIO;LIMA;LIMA;JESUS MARIA;150113
20240920;2024;334d25a34edb456d17bcbca9ec92f7f984d4b40373a6da029d37078000f32ccc;2.19;12.81;0;10;12,894.30;TERMINADO                ;COMERCIO;CONDOMINIO;LIMA;LIMA;JESUS MARIA;150113
20240920;2024;3bb8a62bf5e529fedadc82f56791d2cab1307160437f49354ed0713f12429ec1;57;57;0;100;57,593.97;TERMINADO                ;COMERCIO;SOCIEDAD CONYUGAL;LIMA;LIMA;JESUS MARIA;150113
20240920;2024;87f6961b47b6bd0a123a0bf7ef0ea2b81d219ff8356c741b81ac7807039f2347;6.03;27.66;0;10;29,054.58;TERMINADO                ;COMERCIO;CONDOMINIO;LIMA;LIMA;JESUS MARIA;150113
20240920;2024;334d25a34edb456d17bcbca9ec92f7f984d4b40373a6da029d37078000f32ccc;2.19;12.81;0;10;12,894.30;TERMINADO                ;COMERCIO;CONDOMINIO;LIMA;LIMA;JESUS MARIA;150113
20240920;2024;87f6961b47b6bd0a123a0bf7ef0ea2b81d219ff8356c741b81ac7807039f2347;6.03;27.66;0;10;29,054.58;TERMINADO                ;COMERCIO;CONDOMINIO;LIMA;LIMA;JESUS MARIA;150113
20240920;2024;334d25a34edb456d17bcbca9ec92f7f984d4b40373a6da029d37078000f32ccc;2.19;12.81;0;10;12,894.30;TERMINADO                ;COMERCIO;CONDOMINIO;LIMA;LIMA;JESUS MARIA;150113
20240920;2024;87f6961b47b6bd0a123a0bf7ef0ea2b81d219ff8356c741b81ac7807039f2347;6.03;27.66;0;10;29,054.58;TERMINADO                ;COMERCIO;CONDOMINIO;LIMA;LIMA;JESUS MARIA;150113
20240920;2024;334d25a34edb456d17bcbca9ec92f7f984d4b40373a6da029d37078000f32ccc;2.19;12.81;0;10;12,894.30;TERMINADO                ;COMERCIO;CONDOMINIO;LIMA;LIMA;JESUS MARIA;150113
20240920;2024;ea63f177fe18b3ae002d2f12368d48b87781537af1b032ac48e01bfd0088ddac;42.98;66.85;0;100;76,368.20;TERMINADO                ;COMERCIO;SOCIEDAD CONYUGAL;LIMA;LIMA;JESUS MARIA;150113
20240920;2024;179fc1d187e930685cc98895f0b7513e454d72b8b8415bf9ba33068e2c0fbe11;360;360;0;1.6;435,261.60;TERMINADO                ;COMERCIO;CONDOMINIO;LIMA;LIMA;JESUS MARIA;150113
20240920;2024;58ce12faf944d6eda085b39ae62c8d0c8459ef0ae2e831e448eba23e55a84b6b;41.28;79.02;0;50;72,948.27;TERMINADO                ;COMERCIO;CONDOMINIO;LIMA;LIMA;JESUS MARIA;150113
20240920;2024;e70845a84666dbb5e531bc652c06fe891eaf8de3592018dfc6003111c1fdb4cc;29.71;56.86;0;100;53,830.83;TERMINADO                ;COMERCIO;PROPIETARIO UNICO        ;LIMA;LIMA;JESUS MARIA;150113
20240920;2024;00173f929268892459f760dbb8d8075ca038b1769354719cbfaf1030e5619647;22.56;49.82;0;100;51,420.67;TERMINADO                ;COMERCIO;PROPIETARIO UNICO        ;LIMA;LIMA;JESUS MARIA;150113
